# Tabulated Angle Potential File (Huang Model)


Angle1
N 200 EQ 180.00
62 55.1759 810.8849 871327.0321
63 56.0804 451.8667 737115.6290
64 56.9849 220.8849 622813.2598
65 57.8894 78.0665 525581.4446
66 58.7940 -5.3054 442969.7924
67 59.6985 -49.6256 372865.2414
68 60.6030 -69.1459 313447.6326
69 61.5075 -73.6348 263150.8665
70 62.4121 -69.6319 220628.9740
71 63.3166 -61.3867 184726.5108
72 64.2211 -51.5530 154452.7520
73 65.1256 -41.6966 128959.2209
74 66.0302 -32.6612 107520.1439
75 66.9347 -24.8278 89515.4689
76 67.8392 -18.2947 74416.1256
77 68.7437 -12.9992 61771.2480
78 69.6482 -8.7987 51197.1102
79 70.5528 -5.5204 42367.5550
80 71.4573 -2.9919 35005.7269
81 72.3618 -1.0571 28876.9369
82 73.2663 0.4168 23782.5142
83 74.1709 1.5375 19554.5135
84 75.0754 2.3895 16051.1652
85 75.9799 3.0369 13152.9682
86 76.8844 3.5277 10759.3410
87 77.7889 3.8969 8785.7524
88 78.6935 4.1703 7161.2686
89 79.5980 4.3668 5826.4585
90 80.5025 4.5007 4731.6065
91 81.4070 4.5830 3835.1915
92 82.3116 4.6229 3102.5925
93 83.2161 4.6280 2504.9902
94 84.1206 4.6051 2018.4354
95 85.0251 4.5600 1623.0603
96 85.9296 4.4980 1302.4122
97 86.8342 4.4238 1042.8904
98 87.7387 4.3410 833.2731
99 88.6432 4.2530 664.3179
100 89.5477 4.1622 528.4274
101 90.4523 4.0703 419.3685
102 91.3568 3.9787 332.0374
103 92.2613 3.8880 262.2637
104 93.1658 3.7984 206.6464
105 94.0704 3.7099 162.4177
106 94.9749 3.6222 127.3305
107 95.8794 3.5350 99.5636
108 96.7839 3.4477 77.6451
109 97.6884 3.3601 60.3876
110 98.5930 3.2717 46.8354
111 99.4975 3.1826 36.2217
112 100.4020 3.0928 27.9319
113 101.3065 3.0023 21.4755
114 102.2111 2.9114 16.4614
115 103.1156 2.8207 12.5788
116 104.0201 2.7306 9.5814
117 104.9246 2.6415 7.2745
118 105.8291 2.5541 5.5046
119 106.7337 2.4689 4.1511
120 107.6382 2.3862 3.1195
121 108.5427 2.3064 2.3358
122 109.4472 2.2298 1.7426
123 110.3518 2.1565 1.2951
124 111.2563 2.0865 0.9588
125 112.1608 2.0196 0.7070
126 113.0653 1.9556 0.5192
127 113.9698 1.8943 0.3797
128 114.8744 1.8352 0.2765
129 115.7789 1.7779 0.2004
130 116.6834 1.7220 0.1446
131 117.5879 1.6670 0.1039
132 118.4925 1.6126 0.0743
133 119.3970 1.5583 0.0528
134 120.3015 1.5040 0.0374
135 121.2060 1.4494 0.0263
136 122.1106 1.3944 0.0184
137 123.0151 1.3389 0.0128
138 123.9196 1.2831 0.0089
139 124.8241 1.2270 0.0061
140 125.7286 1.1709 0.0042
141 126.6332 1.1151 0.0028
142 127.5377 1.0598 0.0019
143 128.4422 1.0053 0.0013
144 129.3467 0.9521 0.0009
145 130.2513 0.9004 0.0006
146 131.1558 0.8504 0.0004
147 132.0603 0.8025 0.0002
148 132.9648 0.7569 0.0002
149 133.8693 0.7135 0.0001
150 134.7739 0.6725 0.0001
151 135.6784 0.6339 0.0000
152 136.5829 0.5975 0.0000
153 137.4874 0.5631 0.0000
154 138.3920 0.5307 0.0000
155 139.2965 0.4998 0.0000
156 140.2010 0.4702 0.0000
157 141.1055 0.4416 0.0000
158 142.0101 0.4136 0.0000
159 142.9146 0.3861 0.0000
160 143.8191 0.3586 0.0000
161 144.7236 0.3312 0.0000
162 145.6281 0.3035 0.0000
163 146.5327 0.2756 0.0000
164 147.4372 0.2474 0.0000
165 148.3417 0.2191 0.0000
166 149.2462 0.1908 0.0000
167 150.1508 0.1630 0.0000
168 151.0553 0.1358 0.0000
169 151.9598 0.1098 0.0000
170 152.8643 0.0855 0.0000
171 153.7688 0.0633 0.0000
172 154.6734 0.0440 0.0000
173 155.5779 0.0279 0.0000
174 156.4824 0.0158 0.0000
175 157.3869 0.0081 0.0000
176 158.2915 0.0053 0.0000
177 159.1960 0.0079 0.0000
178 160.1005 0.0160 0.0000
179 161.0050 0.0300 0.0000
180 161.9095 0.0499 0.0000
181 162.8141 0.0757 0.0000
182 163.7186 0.1071 0.0000
183 164.6231 0.1439 0.0000
184 165.5276 0.1857 0.0000
185 166.4322 0.2317 0.0000
186 167.3367 0.2813 0.0000
187 168.2412 0.3337 0.0000
188 169.1457 0.3881 0.0000
189 170.0503 0.4433 0.0000
190 170.9548 0.4984 0.0000
191 171.8593 0.5523 0.0000
192 172.7638 0.6041 0.0000
193 173.6683 0.6525 0.0000
194 174.5729 0.6968 0.0000
195 175.4774 0.7359 0.0000
196 176.3819 0.7691 0.0000
197 177.2864 0.7957 0.0000
198 178.1910 0.8150 0.0000
199 179.0955 0.8268 0.0000
